end	Gene	start	(bp)	Strand	Gene
ENSG00000252292	85650012	85650260	10	-1	misc_RNA
ENSG00000275372	144518447	144518574	2	1	misc_RNA
ENSG00000240014	147808926	147809209	4	1	misc_RNA
ENSG00000200686	78355227	78355328	13	-1	misc_RNA
ENSG00000238490	108060818	108060930	6	1	misc_RNA
ENSG00000201715	17345616	17345955	5	1	misc_RNA
ENSG00000263595	16910490	16910784	19	-1	misc_RNA
ENSG00000201843	133302470	133302563	9	1	misc_RNA
ENSG00000240961	91739609	91739897	6	1	misc_RNA
ENSG00000253057	111719769	111720061	5	-1	misc_RNA
ENSG00000276859	58842030	58842132	20	1	misc_RNA
ENSG00000201026	2184710	2184820	5	1	misc_RNA
ENSG00000275901	16187313	16187566	19	1	misc_RNA
ENSG00000251825	73191604	73191855	1	-1	misc_RNA
ENSG00000264192	21922993	21923288	2	1	misc_RNA
ENSG00000239542	41730127	41730405	17	-1	misc_RNA
ENSG00000263815	21229334	21229628	17	-1	misc_RNA
ENSG00000252217	65502741	65502836	15	1	misc_RNA
ENSG00000273537	144520456	144520555	2	1	misc_RNA
ENSG00000200427	85777639	85777755	6	-1	misc_RNA
ENSG00000273927	73039085	73039186	7	1	misc_RNA
ENSG00000206636	7976259	7976360	12	1	misc_RNA
ENSG00000201023	109305494	109305595	6	1	misc_RNA
ENSG00000200241	86159956	86160066	2	-1	misc_RNA
ENSG00000277506	101581830	101582128	5	1	misc_RNA
ENSG00000241524	60831664	60831929	2	-1	misc_RNA
ENSG00000277553	27206139	27206303	7	1	misc_RNA
ENSG00000274711	130517049	130517312	2	-1	misc_RNA
ENSG00000201423	144535354	144535670	5	-1	misc_RNA
ENSG00000274878	50049591	50049663	13	1	misc_RNA
ENSG00000242436	32655016	32655308	19	-1	misc_RNA
ENSG00000266503	28642979	28643270	22	-1	misc_RNA
ENSG00000265105	29747821	29747922	CHR_HSCHR6_MHC_QBL_CTG1	1	misc_RNA
ENSG00000283438	23132730	23133005	22	-1	misc_RNA
ENSG00000253016	38274448	38274549	12	-1	misc_RNA
ENSG00000276669	86216596	86216878	11	1	misc_RNA
ENSG00000207146	108676951	108677057	X	-1	misc_RNA
ENSG00000200064	49908634	49908730	13	-1	misc_RNA
ENSG00000223321	12406486	12406781	6	-1	misc_RNA
ENSG00000262354	69191115	69191215	CHR_HSCHR16_2_CTG3_1	1	misc_RNA
ENSG00000201277	173254190	173254290	5	-1	misc_RNA
ENSG00000278144	65423273	65423392	11	1	misc_RNA
ENSG00000239471	20095733	20096029	15	-1	misc_RNA
ENSG00000239069	74895816	74895917	7	1	misc_RNA
ENSG00000252595	42892396	42892618	4	1	misc_RNA
ENSG00000278007	4127492	4127732	19	1	misc_RNA
ENSG00000222451	90163651	90163960	10	-1	misc_RNA
ENSG00000222375	29731051	29731404	16	-1	misc_RNA
ENSG00000201548	88585638	88585733	10	-1	misc_RNA
ENSG00000278045	32436797	32437030	11	1	misc_RNA
ENSG00000240613	15525782	15526081	9	-1	misc_RNA
ENSG00000207499	106420706	106420807	6	1	misc_RNA
ENSG00000276189	3736943	3737103	1	1	misc_RNA
ENSG00000278100	14391875	14392196	10	1	misc_RNA
ENSG00000223190	43063326	43063609	20	1	misc_RNA
ENSG00000275006	38089399	38089500	17	1	misc_RNA
ENSG00000243782	87832818	87833098	10	-1	misc_RNA
ENSG00000277385	38281028	38281289	22	-1	misc_RNA
ENSG00000239884	2680958	2681236	17	1	misc_RNA
ENSG00000275588	64817378	64817675	2	1	misc_RNA
ENSG00000222594	145035132	145035436	4	1	misc_RNA
ENSG00000276735	193236794	193237107	1	-1	misc_RNA
ENSG00000266420	119434519	119434820	X	1	misc_RNA
ENSG00000240637	114799331	114799629	4	1	misc_RNA
ENSG00000264862	31518432	31518729	17	1	misc_RNA
ENSG00000276525	10025917	10026168	20	1	misc_RNA
ENSG00000206920	51586424	51586532	13	-1	misc_RNA
ENSG00000242020	141479316	141479625	5	1	misc_RNA
ENSG00000202141	183022859	183022971	2	-1	misc_RNA
ENSG00000264250	16907462	16907723	19	1	misc_RNA
ENSG00000207218	41857271	41857372	2	-1	misc_RNA
ENSG00000223142	49738677	49739003	22	1	misc_RNA
ENSG00000200674	173791548	173791887	1	1	misc_RNA
ENSG00000252171	45047103	45047215	15	-1	misc_RNA
ENSG00000241152	17053901	17054204	9	1	misc_RNA
ENSG00000275362	18615581	18615900	22	1	misc_RNA
ENSG00000252436	62726636	62726740	2	-1	misc_RNA
ENSG00000264706	49863375	49863660	3	-1	misc_RNA
ENSG00000199398	160008445	160008546	5	1	misc_RNA
ENSG00000240803	14213052	14213323	19	1	misc_RNA
ENSG00000278236	87184849	87185020	7	1	misc_RNA
ENSG00000252254	8328067	8328179	1	1	misc_RNA
ENSG00000243505	29721399	29721684	11	-1	misc_RNA
ENSG00000202151	60187738	60187830	13	-1	misc_RNA
ENSG00000277311	44934055	44934271	2	1	misc_RNA
ENSG00000239899	11584773	11585047	2	1	misc_RNA
ENSG00000242565	153704088	153704385	1	1	misc_RNA
ENSG00000277591	95003545	95003843	2	-1	misc_RNA
ENSG00000239690	234904186	234904488	1	1	misc_RNA
ENSG00000207155	140700835	140700942	4	-1	misc_RNA
ENSG00000242818	119768247	119768538	10	1	misc_RNA
ENSG00000240940	62350006	62350297	10	1	misc_RNA
ENSG00000222397	181839473	181839774	1	-1	misc_RNA
ENSG00000242065	44772773	44773061	X	-1	misc_RNA
ENSG00000274396	27099856	27099957	7	1	misc_RNA
ENSG00000275257	28845055	28845291	CHR_HSCHR15_4_CTG8	-1	misc_RNA
ENSG00000274934	136134082	136134248	5	1	misc_RNA
ENSG00000200118	170244782	170244881	3	1	misc_RNA
ENSG00000206717	34821445	34821542	6	1	misc_RNA
ENSG00000202332	75431990	75432087	17	1	misc_RNA
ENSG00000239221	16191832	16192151	17	1	misc_RNA
ENSG00000274514	12576961	12577237	3	-1	misc_RNA
ENSG00000241248	140085855	140086150	X	1	misc_RNA
ENSG00000252797	89987713	89987944	1	-1	misc_RNA
ENSG00000202198	52995620	52995950	6	1	misc_RNA
ENSG00000263740	15738515	15738809	3	1	misc_RNA
ENSG00000200883	9249649	9249746	18	-1	misc_RNA
ENSG00000222148	49889634	49889728	13	-1	misc_RNA
ENSG00000272232	70579163	70579461	9	-1	misc_RNA
ENSG00000251947	76595413	76595678	2	-1	misc_RNA
ENSG00000222412	31756042	31756136	10	-1	misc_RNA
ENSG00000207086	9615267	9615373	2	1	misc_RNA
ENSG00000240606	122745280	122745529	6	1	misc_RNA
ENSG00000199461	20679411	20679512	14	1	misc_RNA
ENSG00000199901	52786537	52786638	4	1	misc_RNA
ENSG00000241709	73732569	73732868	7	-1	misc_RNA
ENSG00000278391	18336960	18337049	Y	1	misc_RNA
ENSG00000264692	31392641	31392739	CHR_HSCHR6_MHC_COX_CTG1	-1	misc_RNA
ENSG00000264963	94150738	94151080	1	1	misc_RNA
ENSG00000207269	100733058	100733386	5	1	misc_RNA
ENSG00000201900	114727720	114727824	1	1	misc_RNA
ENSG00000277046	23170674	23170963	CHR_HSCHR15_2_CTG3	1	misc_RNA
ENSG00000244197	21790537	21790845	13	1	misc_RNA
ENSG00000274012	49862550	49862849	14	-1	misc_RNA
ENSG00000199711	99936610	99936711	7	1	misc_RNA
ENSG00000207034	2778941	2779057	18	1	misc_RNA
ENSG00000242175	78898855	78899154	4	1	misc_RNA
ENSG00000223282	226445937	226446292	1	1	misc_RNA
ENSG00000201602	248594925	248595033	1	-1	misc_RNA
ENSG00000280632	133302618	133302711	CHR_HG2030_PATCH	1	misc_RNA
ENSG00000242863	97353497	97353815	15	1	misc_RNA
ENSG00000199622	13596236	13596548	X	1	misc_RNA
ENSG00000251811	43472477	43472596	3	1	misc_RNA
ENSG00000206982	128584390	128584491	6	1	misc_RNA
ENSG00000199515	41065554	41065646	22	-1	misc_RNA
ENSG00000275776	32394365	32394613	15	-1	misc_RNA
ENSG00000252036	110756456	110756723	10	1	misc_RNA
ENSG00000275823	63549294	63549366	1	-1	misc_RNA
ENSG00000240647	31981147	31981427	22	-1	misc_RNA
ENSG00000278511	30025452	30025519	CHR_HSCHR6_MHC_QBL_CTG1	1	misc_RNA
ENSG00000276685	46028804	46028892	8	-1	misc_RNA
ENSG00000239396	45569199	45569492	2	-1	misc_RNA
ENSG00000276049	30025770	30025837	CHR_HSCHR6_MHC_COX_CTG1	1	misc_RNA
ENSG00000199490	49920597	49920694	20	-1	misc_RNA
ENSG00000206728	23273807	23273910	3	1	misc_RNA
ENSG00000276516	77912271	77912545	CHR_HSCHR10_1_CTG4	-1	misc_RNA
ENSG00000252047	103434994	103435092	7	-1	misc_RNA
ENSG00000239367	1570575	1570860	19	-1	misc_RNA
ENSG00000240877	149125690	149125986	7	-1	misc_RNA
ENSG00000207049	236153071	236153172	2	-1	misc_RNA
ENSG00000202354	148983755	148983856	7	1	misc_RNA
ENSG00000207351	184086791	184086903	3	-1	misc_RNA
ENSG00000239250	71827177	71827471	3	1	misc_RNA
ENSG00000251900	65555432	65555534	2	-1	misc_RNA
ENSG00000266317	181813401	181813702	3	1	misc_RNA
ENSG00000241997	56022019	56022313	8	-1	misc_RNA
ENSG00000265093	45874035	45874330	12	1	misc_RNA
ENSG00000201013	233379843	233379955	2	-1	misc_RNA
ENSG00000200208	23457584	23457685	20	-1	misc_RNA
ENSG00000268154	154950210	154950492	1	-1	misc_RNA
ENSG00000222987	102302504	102302810	5	1	misc_RNA
ENSG00000201451	133337728	133337824	9	-1	misc_RNA
ENSG00000276528	27096124	27096248	7	1	misc_RNA
ENSG00000240936	6938606	6938897	6	-1	misc_RNA
ENSG00000241588	99791209	99791410	15	1	misc_RNA
ENSG00000264036	12328132	12328389	10	-1	misc_RNA
ENSG00000274836	17676211	17676371	17	1	misc_RNA
ENSG00000201665	56885284	56885602	13	-1	misc_RNA
ENSG00000273571	116954983	116955154	7	1	misc_RNA
ENSG00000223324	111683111	111683424	11	1	misc_RNA
ENSG00000238926	72284945	72285045	X	-1	misc_RNA
ENSG00000263671	30795686	30795937	CHR_HSCHR6_MHC_MANN_CTG1	1	misc_RNA
ENSG00000275968	105459815	105460015	13	1	misc_RNA
ENSG00000222112	33336566	33336864	1	-1	misc_RNA
ENSG00000275231	97493897	97494003	12	1	misc_RNA
ENSG00000238723	46215070	46215171	17	-1	misc_RNA
ENSG00000200521	157768013	157768113	4	-1	misc_RNA
ENSG00000243027	50688900	50689193	15	1	misc_RNA
ENSG00000202046	120192245	120192357	2	1	misc_RNA
ENSG00000252485	206007880	206007974	2	-1	misc_RNA
ENSG00000240250	134517810	134518092	5	1	misc_RNA
ENSG00000207300	137784374	137784486	6	1	misc_RNA
ENSG00000242928	149722070	149722372	5	1	misc_RNA
ENSG00000200120	49137762	49137863	15	-1	misc_RNA
ENSG00000277617	32269338	32269597	1	-1	misc_RNA
ENSG00000199200	34201979	34202074	10	-1	misc_RNA
ENSG00000278523	61928634	61928704	2	-1	misc_RNA
ENSG00000223026	81251789	81252096	1	1	misc_RNA
ENSG00000200579	38014568	38014669	3	1	misc_RNA
ENSG00000241246	124607159	124607458	9	1	misc_RNA
ENSG00000244610	67457023	67457290	17	-1	misc_RNA
ENSG00000207157	23152586	23152686	13	-1	misc_RNA
ENSG00000200287	143897263	143897361	2	1	misc_RNA
ENSG00000201868	35195969	35196062	1	1	misc_RNA
ENSG00000202357	11408772	11408880	19	1	misc_RNA
ENSG00000266770	13815062	13815319	19	-1	misc_RNA
ENSG00000265566	57528085	57528365	11	-1	misc_RNA
ENSG00000238845	44843612	44843724	15	1	misc_RNA
ENSG00000239464	43598544	43598844	4	-1	misc_RNA
ENSG00000238912	27547757	27547858	3	-1	misc_RNA
ENSG00000201818	169005249	169005344	4	1	misc_RNA
ENSG00000243066	14588357	14588656	19	1	misc_RNA
ENSG00000202079	247294835	247294941	1	1	misc_RNA
ENSG00000239224	102582888	102583177	14	-1	misc_RNA
ENSG00000265255	30854930	30855232	CHR_HSCHR6_MHC_DBB_CTG1	1	misc_RNA
ENSG00000239708	107734773	107735066	5	-1	misc_RNA
ENSG00000207195	40826655	40826765	4	-1	misc_RNA
ENSG00000273601	30028383	30028450	CHR_HSCHR6_MHC_APD_CTG1	1	misc_RNA
ENSG00000243488	14584095	14584395	19	1	misc_RNA
ENSG00000200142	90977208	90977305	15	-1	misc_RNA
ENSG00000274686	77966173	77966440	10	1	misc_RNA
ENSG00000244392	80245926	80246225	7	1	misc_RNA
ENSG00000277764	70900155	70900351	2	1	misc_RNA
ENSG00000263876	29744335	29744436	CHR_HSCHR6_MHC_COX_CTG1	1	misc_RNA
ENSG00000206814	17117576	17117686	5	-1	misc_RNA
ENSG00000276439	30711324	30711614	CHR_HSCHR15_4_CTG8	1	misc_RNA
ENSG00000244514	48765554	48765847	17	-1	misc_RNA
ENSG00000274004	83386988	83387102	11	1	misc_RNA
ENSG00000200332	41648089	41648190	22	-1	misc_RNA
ENSG00000252051	229410500	229410767	1	-1	misc_RNA
ENSG00000222883	75964980	75965069	3	-1	misc_RNA
ENSG00000266828	115992466	115992773	X	-1	misc_RNA
ENSG00000263944	59291052	59291333	11	-1	misc_RNA
ENSG00000273950	127856890	127857147	2	1	misc_RNA
ENSG00000276884	63548977	63549112	1	-1	misc_RNA
ENSG00000240589	44409059	44409358	17	-1	misc_RNA
ENSG00000201683	20500175	20500276	6	1	misc_RNA
ENSG00000265896	31392186	31392284	CHR_HSCHR6_MHC_QBL_CTG1	-1	misc_RNA
ENSG00000239910	74174456	74174753	14	1	misc_RNA
ENSG00000251996	7341531	7341642	Y	1	misc_RNA
ENSG00000275878	66980120	66980410	7	1	misc_RNA
ENSG00000274409	96965302	96965481	7	1	misc_RNA
ENSG00000274799	148389748	148390029	5	1	misc_RNA
ENSG00000206847	129030459	129030572	11	1	misc_RNA
ENSG00000264271	63529613	63529898	1	-1	misc_RNA
ENSG00000244139	120121909	120122206	3	1	misc_RNA
ENSG00000238443	133238455	133238549	12	1	misc_RNA
ENSG00000276312	167218	167307	KI270733.1	1	misc_RNA
ENSG00000252028	177503303	177503552	3	-1	misc_RNA
ENSG00000278553	45740978	45741258	CHR_HSCHR17_1_CTG5	-1	misc_RNA
ENSG00000207069	25008845	25008946	2	-1	misc_RNA
ENSG00000201782	128220504	128220803	8	1	misc_RNA
ENSG00000199878	143197248	143197591	X	-1	misc_RNA
ENSG00000201600	139584105	139584445	3	-1	misc_RNA
ENSG00000242170	125270604	125270902	8	1	misc_RNA
ENSG00000263669	70075014	70075272	2	-1	misc_RNA
ENSG00000244710	106283413	106283711	6	-1	misc_RNA
ENSG00000200314	106454828	106454929	6	1	misc_RNA
ENSG00000264530	6542094	6542353	9	1	misc_RNA
ENSG00000241542	67705954	67706252	14	1	misc_RNA
ENSG00000263529	32457835	32458135	1	1	misc_RNA
ENSG00000274055	22046758	22046901	9	1	misc_RNA
ENSG00000222859	177181442	177181741	4	1	misc_RNA
ENSG00000199400	230058229	230058324	2	-1	misc_RNA
ENSG00000251759	166670029	166670122	3	-1	misc_RNA
ENSG00000277188	76712195	76712327	5	1	misc_RNA
ENSG00000264879	20316755	20316994	20	1	misc_RNA
ENSG00000262104	78544095	78544188	CHR_HSCHR18_1_CTG2_1	-1	misc_RNA
ENSG00000244296	19365766	19366044	22	1	misc_RNA
ENSG00000276281	85567662	85567960	2	-1	misc_RNA
ENSG00000201428	112267077	112267394	12	1	misc_RNA
ENSG00000207390	44697333	44697430	CHR_HSCHR15_3_CTG8	-1	misc_RNA
ENSG00000252487	151298841	151298933	6	-1	misc_RNA
ENSG00000201624	33982465	33982566	12	-1	misc_RNA
ENSG00000274819	97532691	97532958	12	1	misc_RNA
ENSG00000199605	52400004	52400099	13	1	misc_RNA
ENSG00000278802	97560557	97560721	12	1	misc_RNA
ENSG00000206781	64445130	64445243	15	-1	misc_RNA
ENSG00000275337	39349094	39349392	20	-1	misc_RNA
ENSG00000239607	75041740	75042015	17	1	misc_RNA
ENSG00000273566	21455236	21455515	10	-1	misc_RNA
ENSG00000200283	28972414	28972521	2	-1	misc_RNA
ENSG00000241082	62935982	62936234	11	-1	misc_RNA
ENSG00000244256	63655743	63656047	1	1	misc_RNA
ENSG00000274051	76721216	76721396	17	-1	misc_RNA
ENSG00000239856	86324012	86324309	11	-1	misc_RNA
ENSG00000240327	113976341	113976633	X	-1	misc_RNA
ENSG00000201311	82307067	82307168	2	-1	misc_RNA
ENSG00000240905	55980240	55980540	8	-1	misc_RNA
ENSG00000252716	206260066	206260214	2	-1	misc_RNA
ENSG00000199870	75353885	75353986	7	-1	misc_RNA
ENSG00000239744	30555601	30555904	10	-1	misc_RNA
ENSG00000275287	388100	388389	X	-1	misc_RNA
ENSG00000275359	116952698	116952813	7	1	misc_RNA
ENSG00000264602	30922178	30922269	CHR_HSCHR6_MHC_QBL_CTG1	-1	misc_RNA
ENSG00000275881	62393607	62393880	12	-1	misc_RNA
ENSG00000207207	85434507	85434619	2	1	misc_RNA
ENSG00000252919	49592236	49592337	14	-1	misc_RNA
ENSG00000277217	129170092	129170238	12	-1	misc_RNA
ENSG00000277515	22609141	22609377	15	-1	misc_RNA
ENSG00000277980	30825003	30825096	CHR_HSCHR15_4_CTG8	1	misc_RNA
ENSG00000200090	47726894	47726992	11	-1	misc_RNA
ENSG00000199751	71491066	71491167	X	-1	misc_RNA
ENSG00000252894	130914340	130914452	3	-1	misc_RNA
ENSG00000201208	113178423	113178519	12	-1	misc_RNA
ENSG00000223298	95310830	95310955	13	-1	misc_RNA
ENSG00000201218	7102573	7102681	7	-1	misc_RNA
ENSG00000252042	75145670	75145762	17	1	misc_RNA
ENSG00000200391	43863893	43864005	15	-1	misc_RNA
ENSG00000263558	59059226	59059493	17	1	misc_RNA
ENSG00000274632	28703554	28703790	15	-1	misc_RNA
ENSG00000275625	74281703	74281849	X	1	misc_RNA
ENSG00000273981	23165897	23166186	15	1	misc_RNA
ENSG00000222281	11818821	11819091	20	-1	misc_RNA
ENSG00000266477	69478997	69479265	5	-1	misc_RNA
ENSG00000241413	109866214	109866509	12	-1	misc_RNA
ENSG00000222224	28927243	28927340	2	-1	misc_RNA
ENSG00000206719	113950886	113950998	8	1	misc_RNA
ENSG00000265894	56805834	56806131	4	1	misc_RNA
ENSG00000264423	41190927	41191229	19	-1	misc_RNA
ENSG00000272412	130310180	130310476	11	1	misc_RNA
ENSG00000201339	93967926	93968020	3	1	misc_RNA
ENSG00000199899	113156763	113156861	12	-1	misc_RNA
ENSG00000273701	60487713	60487929	5	1	misc_RNA
ENSG00000274017	49196784	49197062	12	1	misc_RNA
ENSG00000244391	94361220	94361526	12	1	misc_RNA
ENSG00000275656	32188400	32188487	22	-1	misc_RNA
ENSG00000263989	41290280	41290577	20	-1	misc_RNA
ENSG00000264833	119169822	119170115	2	1	misc_RNA
ENSG00000200629	129164849	129164961	7	1	misc_RNA
ENSG00000276168	49586580	49586878	14	1	misc_RNA
ENSG00000206862	118569405	118569515	X	-1	misc_RNA
ENSG00000200485	33196547	33196637	11	-1	misc_RNA
ENSG00000278852	11845549	11845697	1	1	misc_RNA
ENSG00000243437	77645324	77645618	1	1	misc_RNA
ENSG00000273532	51722	51792	KI270721.1	1	misc_RNA
ENSG00000239958	62262387	62262671	2	-1	misc_RNA
ENSG00000202410	94178005	94178106	X	1	misc_RNA
ENSG00000276047	123070782	123071080	5	1	misc_RNA
ENSG00000277582	85210053	85210299	15	-1	misc_RNA
ENSG00000199476	48288587	48288694	3	1	misc_RNA
ENSG00000207290	128371099	128371212	5	-1	misc_RNA
ENSG00000199466	124766196	124766297	10	1	misc_RNA
ENSG00000265648	70276069	70276352	16	1	misc_RNA
ENSG00000239932	60696313	60696605	17	1	misc_RNA
ENSG00000266754	103974515	103974814	10	-1	misc_RNA
ENSG00000202019	31230071	31230172	22	-1	misc_RNA
ENSG00000201289	61743154	61743476	16	-1	misc_RNA
ENSG00000252225	36440880	36440970	22	-1	misc_RNA
ENSG00000199949	86275429	86275523	16	-1	misc_RNA
ENSG00000278526	117190133	117190269	7	1	misc_RNA
ENSG00000222509	170783167	170783271	2	1	misc_RNA
ENSG00000200164	69191123	69191223	16	1	misc_RNA
ENSG00000242614	96169545	96169847	13	1	misc_RNA
ENSG00000252357	173808489	173808622	1	1	misc_RNA
ENSG00000207467	48809911	48810016	12	1	misc_RNA
ENSG00000199584	127619336	127619447	12	-1	misc_RNA
ENSG00000277599	65423960	65424118	11	1	misc_RNA
ENSG00000240299	121494519	121494821	9	1	misc_RNA
ENSG00000201207	31663288	31663401	6	1	misc_RNA
ENSG00000243365	76976915	76977210	15	-1	misc_RNA
ENSG00000252837	57837354	57837660	14	-1	misc_RNA
ENSG00000275420	69478716	69478984	CHR_HSCHR5_2_CTG1_1	-1	misc_RNA
ENSG00000273770	78544095	78544188	CHR_HSCHR18_ALT21_CTG2_1	-1	misc_RNA
ENSG00000201370	16623004	16623095	5	-1	misc_RNA
ENSG00000200057	21389191	21389491	22	1	misc_RNA
ENSG00000276902	6365955	6366055	21	1	misc_RNA
ENSG00000275319	18524620	18524935	22	1	misc_RNA
ENSG00000264322	60899891	60900185	17	1	misc_RNA
ENSG00000201987	164854231	164854332	1	1	misc_RNA
ENSG00000201533	139685127	139685427	4	-1	misc_RNA
ENSG00000264275	202333439	202333728	2	1	misc_RNA
ENSG00000252464	178619728	178619998	5	-1	misc_RNA
ENSG00000200708	133596091	133596399	2	1	misc_RNA
ENSG00000239545	55215624	55215919	4	-1	misc_RNA
ENSG00000244091	94515476	94515760	12	1	misc_RNA
ENSG00000242360	27989296	27989584	13	-1	misc_RNA
ENSG00000276014	36110150	36110447	17	1	misc_RNA
ENSG00000275930	75381638	75381739	7	1	misc_RNA
