contam	ensembl_id	RNA004060L1	RNA004061L1	RNA004062L1	RNA004063L1	RNA004064L1	RNA004065L1	RNA004066L1	RNA004067L1	RNA004068L1	RNA004069L1	RNA004070L1	RNA004071L1	RNA004072L1	RNA004073L1	RNA004074L1	RNA004075L1	RNA004076L1	RNA004077L1	RNA004078L1	RNA004079L1	RNA004080L1	RNA004081L1	RNA004082L1	RNA004083L1	RNA004084L1	RNA004085L1	RNA004086L1	RNA004087L1	RNA004088L1	RNA004089L1	RNA004090L1	RNA004091L1	RNA004092L1	RNA004093L1	RNA004094L1	RNA004095L1	RNA004096L1	RNA004097L1	RNA004098L1	RNA004099L1	RNA004100L1	RNA004101L1	RNA004102L1	RNA004103L1	RNA004104L1	RNA004105L1	RNA004106L1	RNA004107L1	RNA004108L1	RNA004109L1	RNA004110L1
misc_RNA	ENSG00000201470	60479	73114	3287	31434	57713	636730	651740	4119	3373	769162	981367	13501	41913	81579	797667	54867	10808	2135	16906	101643	91556	830	44914	192023	614021	955408	57615	632078	788771	725821	3227	1070293	866460	669072	80226	8245	8763	85668	85578	563865	866847	2225	732997	1074946	840914	303737	3145	46519	287203	68247	49128
misc_RNA	ENSG00000201644	1		12	9	26	73	12	19	4		7	2	2		7	10	20	5	3	11					5	5	1	10	1		1		20	8	1	5	10	10	29				6	1	7	1			45		
misc_RNA	ENSG00000201778	642954	187	1804	1127	1172	899	124	1341	1037	1280	81597	31223	939	1645	953	749	84511	685	66916	508	33290	13	490022	83	1649	257	107	160	251	125	2512	320	656	241	194	570	646	300	991653	47651	10788	448	500	1155	2720	444	3169	30	281	1751	360
misc_RNA	ENSG00000201786	2	4	3	3	4	2	7	7	15	7	5	2	15	13	4			9	16		3		1		1	2	54	3			8		2	16			5	12	2				12	3	2						
misc_RNA	ENSG00000201800	1	3			1		10	2				1	5	4	3																	1					6				8		6								
misc_RNA	ENSG00000201818	96	135	136	68	150	117	102	151	116	127	141	129	86	150	126	83	149	96	122	170	118	16	51	27	96	134	121	90	128	114	111	156	117	111	127	95	142	137	164	83	106	90	96	155	104	40	68	60	53	127	50
misc_RNA	ENSG00000201820	4		1	4		3	10		1	3	1	7	10	1	6		2		1	1	1					1		1	2	4	8		2		1	1			3	10	1	3		3	11						
misc_RNA	ENSG00000201913	1	4		2		1	3		2	4	1	2	8	2	3	3	1		7						8	3	1	3	1		3	1		2		6	11	2	5	3	1	2	2	2	1		1		2	2	
misc_RNA	ENSG00000201938	107	150	143	62	115	100	117	132	150	132	153	143	113	157	137	115	136	119	156	163	184	20	68	23	91	164	96	117	127	110	137	129	147	122	146	121	160	134	183	97	139	118	136	161	127	42	74	49	47	79	75
misc_RNA	ENSG00000202111	98	79	85	51	79	104	235	82	156	157	138	143	408	305	289	16	45	84	91	69	48			5	31	99	36	89	53	73	134	136	76	113	50	30	50	74	35	85	48	28	91	102	60						1
misc_RNA	ENSG00000202151	10	14	3	53	153	39	29	13	5	11	14	43	13	8	26	2	15	1	28	16	11	5	1	6	14	22	3	9	27	2	60	17	12	3	2	29	2	3	5	3	33	20	22	30	2	2	20	1		8	6
misc_RNA	ENSG00000202306	3	2	10	7	6	16	14				8	5	5	3	9	2			52	9	2	3	2	5	1	1	22	2	7	27	32	3	2	40	13	13	10	7	9	8	17	60	1	17	274	1		1	17		2
misc_RNA	ENSG00000202332	2	2	2	2		1	6	1	1	4	1		4	1	1				6	1			2		2	5	2	1	1		6	1	2	3	1		3	2	1		1	3	4			1	2		3		1
misc_RNA	ENSG00000202354	69	17	4		5	6	196	17	3	6	62	12	33	19	9		21	1	14	22	4	22			28	34	10	2	5	8	4	6	1	50	34	10	6	21	16	21	42	3	4	7	11	52	40				
misc_RNA	ENSG00000202368	130	5	51	1			9	54		2		1	4	1	9					1											4		3				4			7	10	5									
misc_RNA	ENSG00000202441	7280	16091	964293	361082	715965	29236	33441	126941	7026	72269	57139	8773	529567	964696	67420	586354	1010565	79136	13872	14680	920278	12367	1978	1835	9313	48685	646703	3867	3611	91446	823450	52885	39845	6568	901196	842326	124846	45361	46069	20787	40497	29630	13054	51495	32974	1540	596746	360682	39728	510360	1303
misc_RNA	ENSG00000206705	13	22	3	115	82	2	3		14	19	4		5	98	7		134	23	4	1					106	207	9		1		1	2	107	9	85		14	63	25	2	31	19	253	1	1		21				40
misc_RNA	ENSG00000206728	2						2	1						2		1			3		1				2	1	1	1								1			1			1		1				1	2		
misc_RNA	ENSG00000206824	244	289	324	104	289	125	614	166	190	587	414	198	625	379	365	569	175	220	326	611	740	161	110	33	657	510	480	209	196	329	285	64	217	371	199	395	591	359	431	638	262	455	242	194	461	42	101	1	354	181	79
misc_RNA	ENSG00000206865	2			3	7	3		84	3		4		26	8	4	92	9		62		2					2	1	24			24	44		12	29	161	99	29	4					115	10				10	8	
misc_RNA	ENSG00000206905	3		1	1			2	3					4	3	2			1	1						1	24	1	2										10	1	1			2		1		1	1	1		
misc_RNA	ENSG00000207011	1	1							2						1										1						2			1	1							1									
misc_RNA	ENSG00000207061	1	1	1	4			8		1	3	1	1	4		1	2		3	3		2	2			11		3	2			2		1	6	1	2	3		1	6		4	4	1	1			1			
misc_RNA	ENSG00000207069	53	25	83	36	31	6	30	153	60	6	32	14	75	47	28	5			11	19	23	3	51		32	168	21	5	5	10	43	12	1	40	21	4	77	182	121	44	61	9	164	4	94	21		31	7	38	10
misc_RNA	ENSG00000207142	1	6	4	2	4	5	3	4	4	2	13	127	2	15	76				191				30		4	1					1	9	3	10	45	7	12	7	20	2	2			1			6	111	1		26
misc_RNA	ENSG00000207161	4							6						2	1		8			2														3			2	1				3			2						
misc_RNA	ENSG00000207386	7			3	29		2	4	1	12			34	24	5										1				1		2					10	133	24		205	176	17			1					4	
misc_RNA	ENSG00000207481	1	1			1		1		2	5	1	1		2	6				1		1				1		37	1			3	7		2			3						8		1						2
misc_RNA	ENSG00000207497	1	2				1			14	16		5	8		2				10										2			20	15	7	2	3			16	5		12			8						
misc_RNA	ENSG00000207512	1		2															1												1	1												1	1							
misc_RNA	ENSG00000212319	5			2		4		3	4	1					1		3													1									1			2							1		
misc_RNA	ENSG00000212409	210	229	1756	1507	189	1894	488	1769	263	4114	357	624	610	69	3574	103	1085	919	227	155	50	29	26	60	1621	150	13	121	69	169	39	92	2741	52	73	233	62	13	45	3831	2357	638	626	294	455	2	27	221	324	173	246
misc_RNA	ENSG00000212448	4	2	2							2				2	1										18			4				2										3									
misc_RNA	ENSG00000212556	1				2									1																				3																	
misc_RNA	ENSG00000222509	5						6	1	3		1			4																	3		1			17															1
misc_RNA	ENSG00000222601	4	15	6	2	5		3	3	16	1		2	2	4	6	1		2	1	4			2		2		6	6	5		11	1	13		2	1	12	3	4	1		1		1			6	25		10	2
misc_RNA	ENSG00000222649	1	1	3	8	11	6	23	5	13	9	5	11	8	3	3	8	1	4	13	4	14	4		3	8	5	13	3	1	5	5	2	7	5	6	10	5	2	3	39	20	23	39	28	37	1	1	1	3	6	
misc_RNA	ENSG00000222733	4		1			1												7	93									3		9		6	3	2						56	110			1							
misc_RNA	ENSG00000238426	3	2	3	2	3	6	10	2	7	5	2	2	13	5	6	4	3		6	2	3	1		1	7	5	4	3		2	4		1	6		1	14	5	4	8	1		7	3	1	2			17	1	27
misc_RNA	ENSG00000238711	1864	1228	22	1	18	169	443	141	85	454	21	114	206	283	91	40	105	19	424	33	176	366	21	262	3	56	61	98	47	147	343	137	14	110	42	1185	29	7	8	361	92	2879	49	34	47				6	6	27
misc_RNA	ENSG00000239180	323	317	378	239	305	261	729	434	497	777	592	646	685	704	791	199	321	197	632	369	555	119	85	132	490	372	281	383	217	266	773	455	528	285	217	378	188	174	199	568	345	414	614	371	494	53	32	50	88	32	33
misc_RNA	ENSG00000239202	3	2	3	1	8	3	378	7	8	3	2	233	35	11	4	1			3	93	5	1	85				54			32	4	129		3	6	1	7	11	6	125		91	151	1				103	15	43	
misc_RNA	ENSG00000239224	2	5	2	2	6	3	6	8	11	17	7	4	15	14	2				1	3	5							1	1	1	11	3		3	2	1	5	8	7	16		5	15						12		
misc_RNA	ENSG00000239390	2	1				2					2	1																		2	1	1							2			7	1		2						
misc_RNA	ENSG00000243254	1					1			1																																1										
misc_RNA	ENSG00000243426	1								3		1																			2						7		1													
misc_RNA	ENSG00000243560	76	89	2	70	100	88	7	2	192	11	4	3	1401	8	8	23			92	5	1	2			195	166					8	3	98	1			40	44	1	1	76		1				182	2	1		24
misc_RNA	ENSG00000243951	4		5	5		3	14	7	3	5	1		1	2	5		16		5		10						11			1		1		5	12	4	15	4	4				3	1	3				41		13
misc_RNA	ENSG00000244230	3	2	1				1	3	1	4	2		4	10	1							50						2	3			2		15			2	15	6												
misc_RNA	ENSG00000244314	1	1	1			1	2	350	1	318	1	3	22	12	1114			43	1						4			1	38		172	4						1		2				3							
misc_RNA	ENSG00000244642	7	1	11		10			2	2	2	14	2	3	7	10		17		5		7				15	2			1			3	3	1	5	10	21	8	10	2	1				1		106	16			10
misc_RNA	ENSG00000251792	3	8	12	2		2	5	7		5	19		27	8	1				35	5	4					34		6	1	2	21	7	2	15		45	169	6			12		2	4	9				120	38	
misc_RNA	ENSG00000251986	3	9	4		2	2	11	2	7	9	4	7	1	3	13				7	1	7						3	3	1	3	17	5	3	3	5	9	4	2	7		13	2	1	1	5						
misc_RNA	ENSG00000252316	10550	979158	55036	6515	18351	12342	68082	814198	872329	49227	43973	934035	17631	67461	83469	6750	13710	666430	868801	1129824	12943	152908	12263	8808	26407	11159	16858	29546	120135	7846	44227	20238	121843	39753	33976	8743	955425	1070502	17708	7537	81608	758457	32867	7297	12914	6255	8517	1976	5457	2815	421690
misc_RNA	ENSG00000252317	1					7	10					8	4					10					1								6				8							5			5						
misc_RNA	ENSG00000252487	755	561	486	486	458	187	1002	725	239	1076	604	364	558	524	298	690	547	443	1185	685	354	206	294	72	676	468	248	786	495	274	853	700	540	748	486	194	1207	893	524	607	633	176	723	608	239	313	373	175	329	386	160
misc_RNA	ENSG00000252652	2	6			4				1		10				4		51			1		12				7											3		3		10	6									
misc_RNA	ENSG00000252759	89	146	122	68	101	100	95	115	159	186	130	140	77	152	119	100	119	147	113	183	124	21	99	29	93	126	95	97	114	117	90	107	165	76	148	115	138	164	129	96	133	89	131	172	179	66	57	57	43	91	72
misc_RNA	ENSG00000252822	2	3		4	1	1	6	5	3	5	4	1	2	5	2	4	11	1	4	1	3		3		5	2	2	5	7		7	5	1	3	3	2	5	9	3	5	5		4	1	1		1		3	1	1
misc_RNA	ENSG00000263740	5	2	3		6	2	2		9	15	5	9	11	1	2	1		3	5	10					29	34		4		3		4	1	3	17	6	34	6	14	24				7	1	15	43				
misc_RNA	ENSG00000264833	1																																																		
misc_RNA	ENSG00000265735	1	4	1	1	1	2	10	13	1	3	6		21	7	7		1	12	5	5	8				62	63			2		3	6	1	12	14	40	53	19	15		1	6	3		16		29		1	195	74
misc_RNA	ENSG00000265813	3	2					16	1		5	1	10			4			4		1	1						23				1	1	1				22	4	2			4		3		2		5	7		
misc_RNA	ENSG00000272232	1	1	1	2		1	22	1		2	1		36	15	13				1	2	3	1			4		1		1		7	4	5					1	2	3		1		1	1		4	3		4	
misc_RNA	ENSG00000274012	170	165	161	130	218	202	752	564	512	447	535	406	1898	1315	1289	61	31		215	268	107	4	4	3	78	174	73	57	52	52	213	249	140	202	174	193	370	489	392	275	236	209	369	311	311	154	191	137	176	93	64
misc_RNA	ENSG00000276168	241	296	356	215	281	174	925	894	614	734	1104	605	3186	3579	2374	51	1	91	211	288	212	56	9	14	149	104	116	118	70	72	471	380	252	141	126	138	199	258	262	256	270	227	339	491	410	256	660	343	122	217	325
misc_RNA	ENSG00000277818	1																																										1								
misc_RNA	ENSG00000277948	1																																																		
misc_RNA	ENSG00000278771	6	4	2	4	2	7	8	8	3	1	9	5	42	2	26	31	5	5	10	1	3							1	1		16		4	61	33	40	64	103	58	12	10	12	7	6	8	2	50		36	7	27
misc_RNA	ENSG00000278815	3	1	7	2	6	3	13	1	5	10	1	4	5	5	11			6	13	3	2			14			13	7	2	1	6	3	3	6	4	15	3	6	6	20	1	4	5		3						
misc_RNA	ENSG00000280502	12	5	4	7		2			13			8			13	5	1		11	2	8					2			5	4	19			7		2		3			7	7	25	9	6	1	1				
multiple_piRNA_tRNA	none	1295	693	751	568	1056	754	2844	972	1205	1171	996	1517	2318	707	1340	1148	567	1295	1546	1382	153	688	572	501	1624	596	310	709	918	458	1259	1261	539	2040	1902	555	2060	1355	1161	3059	2186	748	2267	290	498	433	618	490	83	119	492
multiple_snRNA_misc_RNA	none	3		1					1														6						2																							
multiple_tRNA_piRNA	none	340	1054	343	867	704	886	606	1104	753	2150	2423	931	1087	2073	1429	1375	1548	346	724	324	1439	409	1423	349	480	1408	960	464	248	454	865	364	861	957	669	1835	888	682	1097	158	641	644	1351	2603	1761	148	370	463	623	381	3
piRNA	uc001mir.1	10	4	19	16	20	17	40	20	37	17	26	21	29	47	24	20	49	14	33	18	14		69	30	138	6	9	2	11	4	12	6	10	30	51	36	31	56	22	49	11	10	62	36	25	93	69	80	77	77	98
piRNA	uc001nxj.1	1																																1																		
piRNA	uc002zdj.1	2									2		1																																							
piRNA	uc011ley.2	11	21	17	8	41	21	16	32	19	18	35	24	26	29	19	21	17	12	9	48	10		90		29	42	10	13	3	6	10	7	18	30	19	18	14	35	19	31	17	12	17	28	5						26
piRNA	uc021teo.1	1																																																		
piRNA	uc021ybm.2	63	50	69	103	144	139	197	168	112	114	116	78	204	148	163	28	112	31	101	60	56	5	148	4	99	184	63	13	5	7	18	5	13	348	253	266	961	815	619	72	70	64	93	61	70	273	553	320	298	396	308
piRNA	uc022aol.1	1413	1394	1420	1264	2592	2381	3534	3552	3046	2585	3292	2764	5076	8423	6094	652	744	699	1373	1499	931	327	756	573	3161	3500	2060	625	620	625	1214	1482	879	1904	2802	2026	4652	3299	3711	957	942	717	1649	2062	1609	5972	10217	6344	7377	8395	4760
piRNA	uc031yek.1	131	103	92	170	203	373	271	184	81	261	271	205	472	356	296	147	68	255	101	65	80	112	140	73	134	79	105	48	39	31	107	61	67	409	227	210	397	381	251	109	65	38	164	95	88	128	164	80	29	52	15
piRNA	uc031zrr.1	13	7	9	12	21	7	10	5	4	10	3	5	16	9	13	1	1	3		3	3		4	1	6	1		1	5	4	1	1	1	24	43	35	122	53	93	6		3	5	4	6	80	87	259	185	314	236
piRNA	uc032fsd.1	30	11	6	17	5	22	5	8	4	9	7	2	13	7	12	26					5		16	2				8	2	4	3		2	79	39	31	73	69	25	1	15		1	3		329	584	166	215	314	320
piRNA	uc032nme.1	1	1		1		1	2		5	4	2	4	2	1	2	5		4		1		1	1		13			2		1	1	3	2	3	3	6	7		2	6		7									
piRNA	uc032psw.1	1269	862	798	1302	1724	1687	1387	1484	1140	1172	955	841	3891	1469	1339	446	262	361	556	591	291	385	1614	287	873	866	610	654	581	611	731	595	407	1580	1885	1714	3810	3557	2808	672	799	795	610	621	448	6800	8636	7633	13361	13571	9217
piRNA	uc032psx.1	284	221	100	275	134	120	62	110	49	118	73	65	261	66	83	24	64	1		5	6	75	13		1		16	55	91	85	37	25	29	54	63	35	48	47	45	38	10		15	6	2	153	126	224	275	96	134
piRNA	uc032psy.1	9	12	15	11	5	4	35	11	12	4	10	16	21	18	21	3	14		3	19	7		7		1	4		5		6	7	8	3	122	143	150	272	194	237	5	16	28	11	31	9	566	1112	1078	1247	1266	917
piRNA	uc032pte.1	96	55	51	32	49	52	155	95	59	64	70	55	113	114	96	33	69	4	37	68	76	59	248	5	71	220	25	29	8	15	38	30	31	412	514	600	1374	1468	1139	51	68	219	44	68	43	2528	2483	2817	5143	4770	4398
piRNA	uc032ptg.1	5		1	1	1		4	1		4	1	1	4	3	1		1																	9	17	12	29	20	13	1		8	1			50	126	38	152	71	89
piRNA	uc032pth.1	32	42	39	22	41	39	72	45	36	43	31	13	72	84	64	19	26	20	17	32	24	84	115	1		2	37	19	3	15	20	15	7	213	160	249	311	270	246	12	47	80	46	54	13	786	1236	1067	1711	1577	1221
rRNA	ENSG00000199270	32	31	7	324	382	531	103	15	399	57	21	55	195	139	134	28	3	20	139	11	22	121	190	64	110	479	28	15	6	6	79	16	29	92	871	319	767	459	325	237	24	108	252	206	50	93	132	15	2	214	89
rRNA	ENSG00000199334	33	2271	73	244	261	2222	336	242	191	59	24	180	204	306	42	158	66	129	25	33	146	58	235	54	181	201	26	14	13	5	47	22	6	254	243	358	717	180	456	28	50	14	94	1000	29	341	59	367	217	593	18
rRNA	ENSG00000199337	12	35	73	51	2792	458	205	482	80	147	78	51	127	158	310	20	3	56	78	65	42	35	118		73	157	152	27	31	7	22	30	8	190	208	819	723	964	362	1014	33	74	39	37	758	287	774	52	35	419	5
rRNA	ENSG00000199352	29	47	11	231	209	716	164	337	176	162	48	27	538	416	50	109	5	23	14	333	143	1	715		51	182	23	81	41	23	47	10	46	199	380	193	468	535	358	112	65	106	60	62	22	24	138	84	131	174	36
rRNA	ENSG00000199396	19	24	9	86	139	25	223	176	410	35	38	29	59	68	126	9	23	70	23	64	26	81	141	23	49	90	30	16	36	6	197	8	8	162	215	168	589	323	268	154	42	22	88	42	29	148	229	29	57	39	66
rRNA	ENSG00000199415	9	1	10		13	10		1	32	4	3	3	1	5	314			3	20	22	2	1			1	240	2		2	33	44	17	50	13	175	16	112	21	726	4		8	3	3	1		5	4	53	2	
rRNA	ENSG00000199523	2	3	4	1	1		14	8	9	7	2		37	8	4					3			35		1	41		51		2	2	3		22	48	23	17	62	65	7		1	4	3	2	6					
rRNA	ENSG00000199839	5	40	2	7	60	91	1	104	3	4	103	6	147	61	15	2	65		27	18	10	3	205		7	4	5	3	6	2	31	9	2	261	138	110	326	33	295	73	26	2	6	41	10	6	5	109	6	33	1
rRNA	ENSG00000199843	1	3	10	1065	250	248	3005	474	115	16	2144	23	14	20	19			521	1	3	5	59	2		15	6	3	12	76	4	9	11	6	117	5	644	375	9	187	1	1	10	24	5	12	1	5		3	11	
rRNA	ENSG00000199874	1	5					2	4		3	1	4	1	2	4					1					1	1		2			1			1				3			10	1	1			1		1			
rRNA	ENSG00000199910	11	12	24	24	373	392	124	825	73	29	50	23	213	98	32	13	2		32	248	102	72	268	5	134	111	974	12	23	18	118	2006	3	87	586	346	649	720	152	10	24	110	1072	46	62	111	550	319	71	111	351
rRNA	ENSG00000199994	49	48	3	71	4	62	30	29	48	17	144	6	44	14	256	53	1	14	22	92	1	40		11	57				4		6	19	11	201	374	18	124	141	342	29		26	4	169	3	34	4	75	376	1	123
rRNA	ENSG00000200275	1	1					1	2							2						1													1	1		4					22	1	14		4	4			3	11
rRNA	ENSG00000200343	161	17	13	344	208	187	365	255	197	66	9	1749	358	37	36	13	22	58	49	90	85	17	170	36	67	34	39	23	14	1	14	29	117	127	241	534	192	1324	354	58	55	29	305	18	18	327	87	210	124	149	42
rRNA	ENSG00000200370	20	19	73	628	425	424	121	260	219	81	61	66	99	436	58	5	1038	2	19	26	10	1	153	113	63	1240	12	16	4	13	2211	14	9	119	589	659	599	705	415	266	5	109	53	72	70	95	992	129	458	399	19
rRNA	ENSG00000200381	50	27	47	127	287	320	348	3032	18	39	211	19	32	69	176	2	224	7	37	28	15	67	62	46	259	116	102	61	11	55	24	90	8	623	255	107	469	1315	218	141	36	763	111	17	25	98	121	38	130	577	14
rRNA	ENSG00000200408	4	5	1	72	11	14	20	10	9	14	2	6	6	19	1	1			2	1	2				17	2		2		3	6	4	2	25	16	20	62	65	78	1	9	7	1		1	81	1	3	5	3	11
rRNA	ENSG00000200558	1	1	4	2			2	40	3	1	2		2		2					3	2				57	2	1						3	28	21	26	15	33	27	2	9			5		2	2			2	2
rRNA	ENSG00000200624	158	109	31	87	1033	282	153	347	199	109	31	121	513	5721	172	33	99	140	43	28	23	67	301	62	18	98	33	755	16	14	34	39	134	699	408	147	681	483	1129	50	40	28	22	103	15	200	26	40	291	37	82
rRNA	ENSG00000200687	4	4		2			1		5	1	1		3																				5			7	29	4	19												
rRNA	ENSG00000200741	1			3			2			1		2		1											1	29			1	1			1			21	15	3	15	53										1	
