Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned	fragment_length
RNA004931L1-245008802_1_qc_subs_clumped	125412.0	87420.0	37992.0	69.70624820591331	140.781
RNA004932L1-245017775_1_qc_subs_clumped	195587.0	147962.0	47625.0	75.650222151779	149.251
RNA004933L1-245019776_1_qc_subs_clumped	424365.0	294730.0	129635.0	69.45200476005326	150.337
RNA004934L1-245019777_1_qc_subs_clumped	132715.0	91976.0	40739.0	69.30339449195645	165.286
RNA004935L1-245005794_1_qc_subs_clumped	125867.0	80202.0	45665.0	63.71964057298577	163.429
RNA004936L1-245010777_1_qc_subs_clumped	229802.0	154825.0	74977.0	67.3732169432816	159.764
RNA004937L1-245004812_1_qc_subs_clumped	508191.0	432146.0	76045.0	85.03613798748896	180.019
RNA004938L1-245010778_1_qc_subs_clumped	245377.0	172095.0	73282.0	70.13493522212758	192.52
RNA004939L1-245010779_1_qc_subs_clumped	233378.0	194493.0	38885.0	83.33818954657252	188.423
RNA004940L1-245020777_1_qc_subs_clumped	231366.0	194245.0	37121.0	83.95572383150505	188.882
RNA004941L1-245007806_1_qc_subs_clumped	498758.0	409511.0	89247.0	82.10615168077504	160.475
RNA004942L1-245012786_1_qc_subs_clumped	334275.0	277733.0	56542.0	83.08518435419938	179.343
RNA004943L1-245016785_1_qc_subs_clumped	276697.0	227433.0	49264.0	82.1956869788975	170.609
RNA004944L1-245021779_1_qc_subs_clumped	189485.0	159178.0	30307.0	84.00559411035175	187.235
RNA004945L1-245010781_1_qc_subs_clumped	167017.0	117137.0	49880.0	70.13477669937791	162.103
RNA004946L1-245008808_1_qc_subs_clumped	237657.0	204061.0	33596.0	85.86366065379937	182.912
RNA004947L1-245014779_1_qc_subs_clumped	247332.0	207573.0	39759.0	83.92484595604289	182.779
RNA004948L1-245016791_1_qc_subs_clumped	195335.0	148616.0	46719.0	76.0826272813372	156.525
RNA004949L1-245005799_1_qc_subs_clumped	283255.0	231267.0	51988.0	81.64621983724912	187.719
RNA004950L1-245016792_1_qc_subs_clumped	365694.0	305784.0	59910.0	83.61745065546604	176.983
RNA004951L1-245008809_1_qc_subs_clumped	377647.0	274175.0	103472.0	72.60086800636574	171.699
RNA004952L1-245017778_1_qc_subs_clumped	263250.0	218723.0	44527.0	83.08566001899335	183.312
RNA004953L1-245005800_1_qc_subs_clumped	290715.0	246575.0	44140.0	84.81674492200266	191.39
RNA004954L1-245008810_1_qc_subs_clumped	214942.0	181267.0	33675.0	84.33298285118777	182.98
RNA004955L1-245013776_1_qc_subs_clumped	91363.0	69491.0	21872.0	76.06033076847302	170.197
RNA004956L1-245017779_1_qc_subs_clumped	200622.0	171984.0	28638.0	85.72539402458355	182.806
RNA004957L1-245013777_1_qc_subs_clumped	177537.0	152444.0	25093.0	85.86604482445914	189.991
RNA004958L1-245010784_1_qc_subs_clumped	377050.0	328634.0	48416.0	87.159262697255	165.549
RNA004959L1-245005801_1_qc_subs_clumped	211442.0	182782.0	28660.0	86.44545549134041	190.556
RNA004960L1-245005802_1_qc_subs_clumped	317968.0	277995.0	39973.0	87.42860916821819	167.553
RNA004961L1-245018782_1_qc_subs_clumped	170302.0	125570.0	44732.0	73.73372009723901	164.992
RNA004962L1-245019781_1_qc_subs_clumped	262236.0	231287.0	30949.0	88.19803535746426	177.936
RNA004963L1-245013778_1_qc_subs_clumped	185030.0	158022.0	27008.0	85.403448089499	195.291
RNA004964L1-245018783_1_qc_subs_clumped	211289.0	174588.0	36701.0	82.62995234015969	193.507
RNA004965L1-245019782_1_qc_subs_clumped	212429.0	180296.0	32133.0	84.8735342161381	197.09
RNA004966L1-245019783_1_qc_subs_clumped	118996.0	87846.0	31150.0	73.82264950082356	178.249
RNA004967L1-245009785_1_qc_subs_clumped	201708.0	157046.0	44662.0	77.85809189521487	167.47
RNA004968L1-245015785_1_qc_subs_clumped	123456.0	89981.0	33475.0	72.88507646448937	169.383
RNA004969L1-245021785_1_qc_subs_clumped	205950.0	179424.0	26526.0	87.12017479970868	182.358
RNA004970L1-245013779_1_qc_subs_clumped	169063.0	147508.0	21555.0	87.25031497134205	192.646
RNA004971L1-245023779_1_qc_subs_clumped	588324.0	506112.0	82212.0	86.02606726905583	171.91
RNA004972L1-245018784_1_qc_subs_clumped	85307.0	67365.0	17942.0	78.96772832241199	177.486
RNA004973L1-245009787_1_qc_subs_clumped	80538.0	68857.0	11681.0	85.49628746678587	191.651
RNA004974L1-245022779_1_qc_subs_clumped	174677.0	148737.0	25940.0	85.14973350813216	190.887
RNA004975L1-245014780_1_qc_subs_clumped	161124.0	131469.0	29655.0	81.5949206822075	174.557
RNA004976L1-245020781_1_qc_subs_clumped	178818.0	147718.0	31100.0	82.60801485309085	192.331
RNA004977L1-245022780_1_qc_subs_clumped	318351.0	282574.0	35777.0	88.76177552449968	155.512
RNA004978L1-245010787_1_qc_subs_clumped	118300.0	92001.0	26299.0	77.76923076923077	157.126
RNA004979L1-245022781_1_qc_subs_clumped	275337.0	225299.0	50038.0	81.82663427000367	184.304
RNA004980L1-245016795_1_qc_subs_clumped	321072.0	279981.0	41091.0	87.20193601435192	175.149
RNA004981L1-245013781_1_qc_subs_clumped	82435.0	54917.0	27518.0	66.61854794686722	196.518
RNA004982L1-245012793_1_qc_subs_clumped	380165.0	290527.0	89638.0	76.42129075532992	154.508
RNA004983L1-245007808_1_qc_subs_clumped	251061.0	216670.0	34391.0	86.30173543481465	183.693
RNA004984L1-245012795_1_qc_subs_clumped	265760.0	222429.0	43331.0	83.69543949428055	180.515
