UniqueID,LP,miRNA,RC,smallRNA,miRNAvsRC,miRNAvsLP,smallRNAvsRC,smallRNAvsLP,Id,Femto_conc,RNA_ID,EVE_ID,PROJECT,RUN_ID,RNAID,Tube,TechnicalReplicate,GraphKit
RNA004095L1,93354,141189,22553,1047413,6.2603201347936,1.51240439616942,46.4422914911542,11.2197977590676,EVE41,0.0586,RNA004095,EVE41,exRNAQC011,2,RNA004095,EDTA,RNA3,CIRC0.25
RNA004096L1,34152,52644,8994,1191490,5.85323549032688,1.54146170063247,132.476095174561,34.8878542984305,EVE42,0.2407,RNA004096,EVE42,exRNAQC011,2,RNA004096,EDTA,RNA1,CIRC5
RNA004097L1,9184,28139,5868,1272178,4.7953306066803,3.06391550522648,216.799250170416,138.52112369338,EVE43,0.2654,RNA004097,EVE43,exRNAQC011,2,RNA004097,EDTA,RNA2,CIRC5
RNA004098L1,21769,62721,11141,1241118,5.62974598330491,2.88120722127796,111.400951440625,57.0130920115761,EVE44,0.2,RNA004098,EVE44,exRNAQC011,2,RNA004098,EDTA,RNA3,CIRC5
RNA004099L1,119177,224439,28664,932245,7.82999581356405,1.88324089379662,32.5231998325426,7.82235666277889,EVE45,0.0567,RNA004099,EVE45,exRNAQC011,2,RNA004099,EDTA,RNA1,MAX0.1
RNA004100L1,44858,88670,15009,1140721,5.90778866013725,1.97668197422979,76.0024651875541,25.4296000713362,EVE46,0.0588,RNA004100,EVE46,exRNAQC011,2,RNA004100,EDTA,RNA2,MAX0.1
RNA004101L1,108017,214963,27993,1026985,7.67916979244811,1.99008489404446,36.6872075161648,9.50762379995741,EVE47,0.0795,RNA004101,EVE47,exRNAQC011,2,RNA004101,EDTA,RNA3,MAX0.1
RNA004102L1,29811,293784,30898,1149395,9.50818823224804,9.85488578041662,37.199656935724,38.5560699070813,EVE48,0.1344,RNA004102,EVE48,exRNAQC011,2,RNA004102,EDTA,RNA1,MAX0.5
RNA004103L1,10239,109331,15879,1302390,6.88525725801373,10.6778982322492,82.0196485924806,127.198945209493,EVE49,0.1343,RNA004103,EVE49,exRNAQC011,2,RNA004103,EDTA,RNA2,MAX0.5
RNA004104L1,29500,256190,25682,1207957,9.97546920021805,8.68440677966102,47.0351608130208,40.9476949152542,EVE50,0.1404,RNA004104,EVE50,exRNAQC011,2,RNA004104,EDTA,RNA3,MAX0.5
RNA004105L1,449844,30536,8767,383593,3.48306148055207,0.0678813099652324,43.754191855823,0.852724500048906,EVE51,0.1694,RNA004105,EVE51,exRNAQC011,2,RNA004105,EDTA,RNA1,MAP2
RNA004106L1,235322,18290,7927,684016,2.30730415037215,0.0777232897901599,86.2893906900467,2.90672355325894,EVE52,0.1707,RNA004106,EVE52,exRNAQC011,2,RNA004106,EDTA,RNA2,MAP2
RNA004107L1,478432,33658,10745,484321,3.13243369008841,0.0703506454417765,45.074080967892,1.01230895926694,EVE53,0.1879,RNA004107,EVE53,exRNAQC011,2,RNA004107,EDTA,RNA3,MAP2
RNA004108L1,377995,29743,7634,420712,3.89612260937909,0.0786862260082805,55.1102960440136,1.11300943134168,EVE54,0.3505,RNA004108,EVE54,exRNAQC011,2,RNA004108,EDTA,RNA1,MAP4
RNA004109L1,162913,13214,5431,655034,2.43306941631375,0.0811107769177414,120.610200699687,4.02075954650642,EVE55,0.2,RNA004109,EVE55,exRNAQC011,2,RNA004109,EDTA,RNA2,MAP4
RNA004110L1,362866,31720,8095,551431,3.91846819024089,0.0874151890780619,68.119950586782,1.51965463835135,EVE56,0.3076,RNA004110,EVE56,exRNAQC011,2,RNA004110,EDTA,RNA3,MAP4
